#             sqrt(s)             alpha_s           alpha_qed              weight            beam1_px            beam1_py            beam1_pz             beam1_E            beam2_px            beam2_py            beam2_pz             beam2_E           final1_px           final1_py           final1_pz            final1_E           final2_px           final2_py           final2_pz            final2_E
                  90               0.118          0.00729915                   1                   0                   0            -45.4969             45.4969                   0                   0             45.4969             45.4969            -17.4275             36.1151             -21.493             45.4969             17.4275            -36.1151              21.493             45.4969
                  90               0.118          0.00729915                   1                   0                   0            -37.9498             37.9498                   0                   0             37.9498             37.9498            -3.47068             3.93438            -37.5854             37.9498             3.47068            -3.93438             37.5854             37.9498
                  90               0.118          0.00729915                   1                   0                   0            -46.6082             46.6082                   0                   0             46.6082             46.6082             32.7034             11.7928            -31.0442             46.6082            -32.7034            -11.7928             31.0442             46.6082
                  90               0.118          0.00729915                   1                   0                   0            -52.2506             52.2506                   0                   0             52.2506             52.2506            -2.65398            -5.51333            -51.8911             52.2506             2.65398             5.51333             51.8911             52.2506
                  90               0.118          0.00729915                   1                   0                   0            -54.2251             54.2251                   0                   0             54.2251             54.2251              14.888             5.92901             -51.803             54.2251             -14.888            -5.92901              51.803             54.2251
                  90               0.118          0.00729915                   1                   0                   0            -46.1328             46.1328                   0                   0             46.1328             46.1328            -13.4497            0.700528            -44.1231             46.1328             13.4497           -0.700528             44.1231             46.1328
                  90               0.118          0.00729915                   1                   0                   0            -50.4908             50.4908                   0                   0             50.4908             50.4908             8.65484             2.80794            -49.6642             50.4908            -8.65484            -2.80794             49.6642             50.4908
                  90               0.118          0.00729915                   1                   0                   0            -45.3725             45.3725                   0                   0             45.3725             45.3725            -42.6995             15.2784            -1.41187             45.3725             42.6995            -15.2784             1.41187             45.3725
                  90               0.118          0.00729915                   1                   0                   0            -45.6192             45.6192                   0                   0             45.6192             45.6192             31.6983             8.35518            -31.7257             45.6192            -31.6983            -8.35518             31.7257             45.6192
                  90               0.118          0.00729915                   1                   0                   0            -48.2991             48.2991                   0                   0             48.2991             48.2991            -14.8456             31.0851            -33.8544             48.2991             14.8456            -31.0851             33.8544             48.2991
